FBgn	gene	chromosome	start	stop	BS40	BS43	BS46	BS49	BS54	BS55	BS58	BS62	BS66	BS67	BS71	BS73	BS107	BS111	BS113	BS196	BS200	BS203	BS129	BS133	BS136	BS137	BS140	BS143	BS150	BS156	BS162	BS153	BS159	BS165
FBgn0040696	CG18675	chr3L	4173852	4192968	0.0540939	0.0835173	0.281591	0.314928	1.01149	3.35807	4.33028	2.04915	1.81689	0.617696	0.0	0.0	0.0	0.0	0.127401	2.68236	6.59282	7.73758	8.24571	13.2207	22.9617	25.5649	23.1173	16.4282	27.775	40.4152	39.8566	0.0	0.0	0.0
FBgn0033427	CG1868	chr2R	5469260	5472050	8.00906	11.0914	7.35531	4.76147	5.29092	3.74235	4.29423	2.83183	2.14977	1.044	1.92136	2.88974	1.33207	2.20162	1.75953	2.95082	4.16277	4.90448	4.33338	4.99968	7.5707	5.11065	2.50803	1.5232	2.623877	3.873168	3.71857	3.27187	6.88077	6.22016
FBgn0040625	CG18682	chr3R	25947584	25949018	0.0143193	0.016358	0.0	0.0121586	0.0880397	0.0670809	0.107851	0.42088	1.08759	0.185356	0.109191	0.11088	0.0981464	0.191004	0.0186068	0.22538	1.0826	1.49909	1.2907	2.0925	4.0978	4.89492	3.55465	2.15245	4.19215	5.79499	5.74835	0.0	0.0	0.0162516
FBgn0042213	CG18731	chr3R	25550743	25551454	10.46447	5.8378	15.29238	17.40262	21.94898	34.9737	31.52486	9.2812	11.93304	10.71904	6.61286	10.64064	6.39934	13.4561	9.24133	11.64831	11.96656	17.11512	19.21561	13.01182	15.40815	16.28657	12.52885	7.58531	13.90148	13.56665	10.99013	6.24607	13.91586	12.0552
FBgn0042098	CG18735	chr2R	17685576	17686671	0.0	0.0196445	0.0	0.0438041	0.0704854	0.308807	0.377765	0.361029	0.0952364	0.103879	0.0218548	0.0	0.0130961	0.385775	0.0893808	0.0451103	0.0203143	0.0477948	0.0882122	3.05984	721.52	323.958	4.07684	2.83777	0.168281	0.0286981	0.0	0.0239531	0.0	0.0
FBgn0042101	CG18744	chr3R	3622443	3624670	0.024566	0.112254	0.877674	0.0521478	0.0629334	0.0191806	0.0385474	0.134096	0.279018	0.911587	2.15426	2.25432	1.51541	2.29012	2.15472	3.09328	1.2356	0.444506	0.128434	0.463695	0.185866	0.0877418	0.0648583	0.22076	1.02171	0.89169	1.23534	0.915352	1.20289	1.1013
FBgn0042102	CG18745	chr3R	3609548	3611855	0.0353723	0.121225	0.731473	0.330382	0.314139	0.230149	0.103607	0.326757	2.69595	13.482	25.8941	25.1717	9.61706	7.34196	8.31942	21.8678	20.6562	13.742	5.36576	2.15882	0.419019	0.217869	0.178096	3.24613	5.49996	6.95587	8.75309	6.1671	4.36634	5.63377
FBgn0042103	CG18746	chr3R	3613933	3615937	0.01188	0.0135714	0.256638	0.0504369	0.048695	0.0463782	0.0745656	0.269371	1.1843	3.39344	8.18336	8.96005	3.00377	2.42743	1.88334	3.4281	2.18933	1.94813	0.922829	0.571875	0.0666618	0.033772	0.0390096	0.630848	1.21101	1.04087	1.07331	1.07562	0.702862	0.984272
FBgn0042104	CG18747	chr3R	3606538	3609406	0.0229213	0.1702	0.698298	3.0167	1.87904	0.859028	0.633013	0.692965	2.5026	11.71	30.2525	28.5936	13.4587	10.861	7.40145	10.718	6.80998	2.86682	0.41993	0.600945	0.289388	0.162899	0.0978446	3.30505	5.00017	6.68462	6.43718	4.95679	2.72476	3.27782
FBgn0042105	CG18748	chr3R	3611891	3613645	0.0138557	0.0158283	0.00767478	0.0470596	0.0851893	0.451872	0.951028	0.924805	2.363743	5.07594	7.83706	11.53705	3.419958	6.1576	5.47628	11.18838	6.91005	3.72318	1.463188	2.51446	0.34251	0.444123	0.1706285	1.55891	6.11095	5.81126	4.810106	4.05256	3.36342	3.469701
FBgn0042182	CG18749	chr3R	4069776	4073577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBgn0042106	CG18754	chr3R	19509782	19511719	1.69639	13.15487	73.2451	289.032	426.306	314.078	99.2979	10.9979	4.26799	4.90415	2.58714	3.93824	0.815502	0.569345	0.110216	0.151256	0.490032	0.305251	0.268417	1.33114	4.37849	1.66373	0.245093	0.390295	0.0968375	0.184017	0.274713	0.448959	0.31596	0.299154
FBgn0042205	CG18764	chr3R	7452514	7454223	10.96209	9.24603	10.2705	8.22404	7.07945	6.92336	6.44195	4.49562	3.799508	1.974697	4.70891	5.28121	1.391141	1.5262	1.319776	1.309437	2.160812	3.07693	2.52919	2.65806	3.38455	2.744271	1.529581	0.885712	1.534231	1.748422	1.523764	2.52161	4.567312	5.002227
FBgn0042110	CG18765	chr3R	7516039	7519030	0.0127487	0.0	0.1426327	0.5271467	0.861568	0.772231	0.613663	0.92085	4.244727	3.620074	3.993809	5.204078	2.030391	4.371697	1.248164	0.4977072	0.1765314	0.339242	0.1872139	0.3082521	0.2909215	0.929835	1.194599	0.5673288	0.66968	0.501569	0.386152	0.538192	0.213269	0.2637832
FBgn0042111	CG18766	chr3R	23067997	23071224	7.49361	24.43342	65.23018	70.3304	66.8237	69.37792	46.84105	30.61709	23.91596	18.798012	14.35386	17.304812	18.500935	9.939632	8.487554	14.14379	20.14512	26.81138	28.32971	36.63563	44.59843	19.44237	11.095843	11.581115	12.479783	14.459576	14.95335	11.217374	7.70675	8.48014
FBgn0042185	CG18769	chr3L	6543793	6587045	25.746476	12.439214	6.011147	4.3237513	9.565151	8.001982	12.248171	9.550935	11.611453	8.436571	12.285787	15.074794	9.901769	12.388811	11.926395	8.078206	6.584207	5.657385	4.0482314	8.534523	10.961875	9.049097	14.605738	7.573035	7.59225	7.700054	7.722892	6.0597442	13.866544	12.669185
FBgn0042125	CG18787	chr2L	11994065	11999536	1.122241	1.115703	0.613888	0.537419	0.495757	0.3710867	0.223415	0.318284	0.2180157	0.1127336	0.331747	0.2551172	0.1074876	0.1590616	0.3158082	0.2672642	0.149352	0.2013095	0.1706746	0.349625	0.381034	0.377705	0.101297	0.1642219	0.376616	0.88115	0.384844	0.210221	0.586511	0.956433
FBgn0042126	CG18788	chr2L	12034183	12036137	0.0419581	0.990156	0.43746	0.203587	0.280589	0.292353	0.222839	0.191568	0.415787	1.22243	0.573098	1.0989	0.765855	0.526403	0.420536	1.30367	1.30086	1.94879	2.10756	2.22285	2.8738	2.24547	1.72195	1.1285	2.12425	3.63663	3.7812	0.412465	0.436383	0.5748
FBgn0042127	CG18789	chr2L	11994065	11995428	0.400192	0.54343	0.199438	0.146148	0.184312	0.113089	0.0993923	0.11255	0.0437201	0.10072	0.201255	0.0595852	0.0348721	0.0349928	0.0300081	0.0549105	0.0750983	0.076968	0.0681636	0.17251	0.11985	0.097961	0.122904	0.0721512	0.121723	0.576594	0.112642	0.0568173	0.300627	0.200773
FBgn0042129	CG18806	chr2L	19965554	19967140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.152777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.431948	0.964446	0.0	0.309834	4.04488	12.6696	12.3794	13.3575	3.35639	4.48731	4.5926
FBgn0042131	CG18808	chr3L	4806137	4807406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1187	12.8099	11.1141	17.6424	23.5971	26.0682	0.0	0.0	0.0
FBgn0042132	CG18809	chrX	19635812	19638371	21.26803	30.8706	30.9798	33.7148	22.87398	23.1419	19.80179	26.8305	22.18977	20.989	16.5432	15.5004	21.02323	10.1533	0.0	6.59899	8.76023	8.5409	10.00678	11.14321	15.28009	17.65539	17.1946	0.0	17.8755	17.04422	17.8508	23.7475	14.78931	15.63889
FBgn0042133	CG18810	chr2L	20649021	20650079	0.0177976	0.264309	0.522487	0.241792	0.182376	0.0694797	0.0670245	0.0597847	0.028162	0.0307175	0.0	0.0137815	0.0271083	0.021582	0.0693799	3.24481	8.53602	11.773	10.0818	18.2055	28.2456	36.6302	37.4605	27.0729	48.8681	56.7451	60.5706	0.0867678	0.0779974	0.100996
FBgn0042134	CG18811	chr3L	18661244	18666438	218.081	64.2175	87.5161	118.694	81.495	54.134	49.2741	33.4919	20.36	16.4714	13.0973	11.8829	33.9175	31.6037	30.3792	36.806	70.1921	72.2981	80.7515	86.3285	104.68	48.3578	25.0004	25.2158	29.7717	36.0936	37.8533	97.814	165.294	165.913
FBgn0042135	CG18812	chr2R	3604311	3623242	62.96965	39.93356	16.30383	15.793314	24.14018	22.24897	40.573817	54.89001	79.86814	83.57148	100.66695	113.44373	50.02445	34.247693	32.896922	34.705311	79.70776	297.3583	296.1753	106.77379	49.733473	54.08513	58.61275	58.96875	70.7421	67.56951	79.5463	57.44946	58.77578	57.11495
FBgn0042137	CG18814	chr3L	16362921	16364129	0.0185699	0.0212137	0.010286	0.0	0.0	0.0289978	0.283014	1.30261	4.413861	4.176932	5.27217	5.089976	4.87977	5.87246	6.5858	2.411348	0.447439	0.12043	0.0816503	0.248063	0.0173667	0.1561806	1.04235	0.987222	1.85327	0.745802	0.461178	0.810709	0.305182	0.102351
FBgn0042138	CG18815	chr3L	11621102	11623849	87.61874	21.048472	27.00959	40.90333	41.81956	55.99443	45.30099	51.87378	48.22612	54.32743	63.73411	56.92149	89.00156	101.24294	85.90129	62.46986	54.01554	56.61653	49.69363	52.35231	64.7454	58.5475	50.04663	69.78269	94.51406	117.68008	114.66408	97.18039	95.54458	108.93471
FBgn0033226	CG1882	chr2R	3699931	3702861	47.664	30.75267	21.370636	19.67968	22.7441	24.73355	21.78267	38.0226	39.34625	54.0117	62.877	65.5924	30.6637	31.3063	32.3307	44.22641	55.68269	60.57053	58.639	45.19417	74.84694	60.93704	36.53954	53.53082	86.4165	119.5352	126.7987	63.4155	43.8393	45.9143
FBgn0042146	CG18823	chrX	884614	884935	0.0	0.0	0.0649846	0.0996169	0.0	0.0	0.0	0.0	0.0	0.0	0.0745516	0.0	0.0	0.0355665	0.0762243	0.384703	0.415778	0.7065	0.601822	0.958056	1.15204	0.750402	0.616376	0.479221	0.62188	1.46843	1.5999	0.0408546	0.0	0.0665759
FBgn0030066	CG1885	chrX	8793064	8794211	24.7563	8.55177	3.65551	2.67637	3.09533	4.05039	3.86399	5.18371	6.41627	6.50266	3.48429	3.66109	5.96366	5.45461	6.67697	5.64154	6.71008	8.57806	7.73557	7.50742	9.62629	33.1112	60.8276	60.3249	12.6647	11.8355	12.467	14.372	12.2667	13.3032
FBgn0042173	CG18853	chr2R	3716543	3717902	2.23072	1.3491	1.94427	2.1448	1.91609	2.11308	2.22372	1.36367	1.40153	1.33054	1.08398	1.72734	1.9237	1.58125	1.59852	2.38804	2.32517	3.43432	2.24773	2.73528	2.8685	2.86761	2.90839	3.52415	2.03315	2.61414	2.18087	1.85063	2.62371	2.86682
FBgn0042174	CG18854	chr2L	9787278	9790751	14.29086	5.209607	10.7199	30.06839	54.5981	90.7392	101.809	57.616	60.5504	47.52787	39.71757	52.72185	44.55837	66.8619	72.01812	64.13028	131.4036	243.4384	222.2356	139.1432	180.3255	122.9295	103.115	104.9682	122.7338	102.6046	86.5837	65.2607	48.31467	43.08785
FBgn0042175	CG18858	chr2L	20456965	20459283	0.648999	1.70623	0.915951	0.875669	0.747035	0.909324	0.848175	0.522623	0.534573	0.567738	0.779623	0.66777	0.189579	0.237177	0.496753	0.967859	1.66988	1.91089	2.87966	4.93684	1.76264	1.23839	0.490438	0.68272	0.594506	1.08309	0.318252	0.538691	1.70458	1.47316
FBgn0042179	CG18869	chr3L	4059721	4061957	0.0274488	0.0104522	0.00506804	0.0466137	0.0750063	0.257176	1.18876	2.63551	2.6784	1.23175	2.29078	2.69936	1.82563	4.45468	3.50732	5.36441	6.43112	9.12944	8.24716	11.6087	17.0451	19.527	18.2426	13.9852	25.6748	33.2567	33.6889	1.1534	0.771882	1.00728
FBgn0035290	CG1887	chr3L	1893338	1910266	0.00681008	0.0388982	0.0264051	0.0289123	0.0418706	0.0319029	0.119682	0.714876	2.89333	4.83667	2.0772	3.33802	1.33808	1.86221	1.6194	7.47636	18.3826	20.8521	23.6353	74.7488	3.73214	5.13023	11.1585	9.02394	8.04159	9.68871	13.2107	3.53352	5.78245	5.77361
FBgn0042180	CG18870	chr2R	17501693	17504468	64.854	19.7347	11.1686	10.900259	11.1436	10.532927	8.17682	6.550912	5.963405	5.78838	3.514909	4.344186	4.078926	2.909948	2.239628	2.620865	5.690363	7.0005	7.597733	7.230189	8.13226	8.028726	7.382523	6.019346	5.206921	7.067932	8.38554	23.4257	37.1168	37.1376
FBgn0033421	CG1888	chr2R	5432245	5435129	16.4095	19.705	58.69372	44.8198	44.50011	42.22046	31.67021	21.13199	11.485511	8.16741	4.13163	4.97246	4.665387	7.38562	6.82947	9.8999	11.8223	14.4705	18.45309	19.414552	13.1935	12.0762	7.383582	6.90862	8.29577	9.55427	13.203	13.7542	14.3525	14.4528
FBgn0030164	CG1889	chrX	9859153	9860995	0.0	0.0	0.0	0.0	0.0395064	0.0	0.0189858	0.112493	0.342306	0.147217	0.0387447	0.0318095	0.0103789	0.0987061	0.133631	0.0916094	0.0660063	0.142356	0.170248	0.31208	0.509483	0.604504	2.036556	12.639509	11.67846	10.54772	8.76734	5.425041	3.396697	1.947062
FBgn0039869	CG1890	chr3R	27569121	27569990	82.6756	5.28519	7.6111	10.3906	13.9382	18.8018	18.9766	9.5772	8.80319	6.74736	6.08566	6.00069	14.4636	25.204	25.8808	37.2896	41.6189	50.7494	51.0255	51.1831	59.0167	37.8285	27.0109	16.7247	23.4862	29.0309	26.4986	32.0286	69.2915	67.5781
FBgn0039585	CG1894	chr3R	24310278	24311868	4.47974	5.97282	4.31301	0.826444	1.02295	0.779425	1.02601	0.670667	0.898403	0.495348	1.47488	1.69095	0.133044	0.174014	0.454012	0.441911	0.383265	0.566475	0.502942	0.74012	0.81689	0.727195	0.631005	0.560679	0.905668	1.09329	0.904019	2.07709	5.87875	4.34781
FBgn0039870	CG1896	chr3R	27569993	27570902	29.5204	32.2951	14.866	11.8373	17.2131	12.9562	12.6066	5.78906	6.55019	3.81943	4.92026	6.76451	4.16557	6.92988	7.4319	8.08397	7.70173	9.64741	8.63144	10.1975	10.9037	6.007	2.99651	2.92489	4.66304	5.15571	4.47376	7.85163	20.7223	21.8848
FBgn0033434	CG1902	chr2R	5481587	5493222	27.3576	35.3305	0.0	0.0	0.0	0.0	45.5385	46.0192	46.0887	0.0	0.0	0.0	0.0	42.5537	0.0	0.0	37.0406	53.2153	52.266	42.6994	51.3457	66.524	44.7106	32.5993	50.9549	57.6155	66.3815	0.0	0.0	0.0
FBgn0039674	CG1907	chr3R	25444723	25446492	46.6311	33.4695	16.9473	11.2522	14.2727	21.9316	18.0203	27.7613	33.261	46.6529	58.8974	58.1428	112.324	124.644	147.932	89.5699	36.7722	22.428	55.0575	17.2919	12.1858	18.3946	20.042	60.2274	75.268	47.5715	46.5402	71.8431	47.0803	48.8333
FBgn0030274	CG1908	chrX	11043355	11046659	39.30401	17.745534	25.06948	27.146351	25.30765	25.57698	17.83417	16.319	13.29296	11.86254	13.3343	9.77912	14.75364	7.761104	8.65928	15.064025	31.96308	54.07782	72.5413	114.36531	67.56132	39.38286	21.517109	20.91727	25.10192	27.39173	28.54094	27.98785	24.56188	26.56485
FBgn0039911	CG1909	chr4	603438	610003	0.1420664	0.565802	0.60782	0.7956465	0.8243	1.265196	1.903739	1.379803	3.100006	5.36374	10.998022	14.57203	11.479595	5.203145	2.360736	2.062163	1.732922	2.381937	2.349963	4.435876	7.65317	9.042014	20.42196	10.409336	10.91087	9.84773	10.376474	3.579759	2.190756	2.62455
FBgn0022349	CG1910	chr3R	27571766	27577537	102.7837	108.97841	210.52618	275.1808	165.21468	113.57291	113.73291	58.55966	46.9428	30.83381	29.16771	31.83052	37.73832	39.77044	31.77949	33.7956	50.88892	52.3666	57.64247	54.3533	66.26919	31.04759	24.50616	17.390059	22.006794	22.05829	18.15175	37.58663	72.08391	71.20233
FBgn0030377	CG1924	chrX	12070927	12072640	0.0	0.0125573	0.0	0.00933363	0.0	0.0171651	0.0	0.00923121	0.0260905	0.0853743	0.0279405	0.0340474	0.0418572	0.0266593	0.142837	0.922747	1.7011	2.20992	2.04607	3.02367	4.70829	4.34354	2.75042	1.78705	4.16835	5.97118	5.29345	0.0306231	0.0240867	0.0374271
FBgn0027547	CG1927	chr3L	1966688	1970134	67.4642	61.4783	15.9636	12.1012	18.6835	34.0711	60.098	97.3339	107.86	101.384	118.438	129.952	91.4474	88.6137	88.9846	107.197	67.8093	53.0263	50.5625	63.1042	66.9858	91.6031	61.8921	66.5968	79.2699	89.5319	115.765	74.7356	63.6458	66.2973
FBgn0033214	CG1941	chr2R	3597371	3599662	0.0782405	0.18301	0.1461641	0.243592	0.444223	0.990403	4.478715	9.9872	18.26753	20.90854	18.0643	23.85235	18.3226	17.2597	9.42119	9.83469	3.737057	3.057252	0.880631	5.91386	1.724894	1.265576	1.303878	8.590972	5.552073	6.442743	4.392102	5.010236	4.007399	2.925601
FBgn0033215	CG1942	chr2R	3599995	3601736	0.0261345	0.970296	7.61443	15.3894	10.0025	4.28508	3.43651	0.768157	1.2096	2.39064	4.41753	5.82827	2.47795	4.08028	3.1243	5.57031	2.77858	2.42125	0.766074	10.0307	2.24858	0.733651	0.137305	0.75794	1.51319	1.39567	1.22511	0.837279	0.973533	1.21611
FBgn0037468	CG1943	chr3R	2900442	2903638	319.504	529.504	452.31	193.2338	193.6083	92.5194	157.3628	86.6016	115.8984	60.9085	160.0967	168.5019	20.49673	39.26836	39.98299	65.6777	120.5493	227.1297	224.1801	200.9696	175.8404	170.514	71.22046	26.90014	37.18137	32.54982	34.18769	70.09536	203.8543	183.0763
FBgn0033216	CG1946	chr2R	3602315	3604325	0.0562086	0.321055	4.01634	9.48572	10.4541	5.22247	4.4364	1.87633	1.68569	1.70269	1.5989	2.61774	5.87524	2.80309	0.986023	0.239607	0.0996005	0.169244	0.0823815	0.216858	0.454124	0.593106	0.987438	0.298476	11.3987	12.7808	11.0427	8.77878	4.88045	3.84356
FBgn0030370	CG1950	chrX	11949370	11950668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625946	0.0	0.0	0.0	0.0	0.0377011	1.00847	2.55345	3.48096	3.46567	6.2849	9.79529	11.8976	12.1565	9.91954	15.5568	20.0579	23.7644	0.0	0.0	0.0
FBgn0039623	CG1951	chr3R	24852944	24856660	40.0564	21.5767	20.2826	15.9141	15.6345	11.5225	14.0383	11.3285	11.4688	8.08221	11.2668	10.4544	7.25649	5.42058	4.85243	6.95012	9.37857	12.3921	14.1587	15.5235	13.6854	11.4257	6.92361	4.69521	6.73735	7.77776	8.60119	14.4107	27.3411	26.6326
FBgn0029940	CG1958	chrX	7160936	7161914	0.0	0.0	0.0959818	0.53949	1.65727	1.87908	1.63141	0.452726	0.274191	0.182766	0.0	0.0	0.0439886	0.0116737	0.125092	4.59613	8.64291	13.1284	9.98939	18.619	28.3954	37.273	39.8293	30.766	55.9273	66.9776	72.3682	0.0	0.0	0.0
FBgn0032876	CG1962	chr2L	20678823	20681995	91.6799	86.6733	23.47036	19.66634	31.93457	28.10336	42.65613	34.44194	33.74425	15.88667	53.80119	46.34277	6.49079	6.25781	4.16807	6.90674	10.35021	17.5904	21.11502	23.40673	19.27949	14.63493	9.27315	5.36207	8.13604	7.79832	9.02354	21.92264	56.6896	55.3285
FBgn0037466	CG1965	chr3R	2893049	2897350	18.8797	18.7076	20.10647	17.42178	17.02284	12.05684	14.60302	9.65467	9.24447	5.958238	9.61896	11.30933	8.74664	7.55989	5.67657	7.72618	12.32167	16.19324	16.80936	20.21527	29.759	22.4154	10.36762	4.83174	7.72998	8.80063	8.80684	8.38781	13.91921	13.17918
FBgn0033401	CG1968	chr2R	5174211	5176531	28.73258	9.20452	15.85012	19.29891	16.21958	18.12126	15.94003	11.54676	8.74426	7.28405	6.08337	6.38521	9.91941	11.73611	8.49958	8.44824	10.93788	12.77222	11.81561	11.01538	14.68945	12.26008	6.59999	6.29671	10.31278	11.90996	13.6124	12.05995	19.13186	21.4294
FBgn0039690	CG1969	chr3R	25563936	25567682	8.792661	9.82153	10.791887	36.50797	74.44195	154.40464	115.20325	99.15129	64.07497	47.77172	35.30476	32.62272	47.9442	69.71661	103.6548	74.90047	72.4928	71.95137	59.1142	192.3652	44.96418	91.86748	57.39139	23.99061	26.02974	14.254302	16.08977	22.27941	12.407571	13.800921
FBgn0039909	CG1970	chr4	588911	591496	61.3924	86.7672	86.5197	76.9717	96.3724	140.38	162.654	117.395	154.979	155.832	168.496	203.316	178.689	200.602	174.998	89.8956	57.9176	63.5703	61.8254	54.6415	61.0467	113.077	286.709	215.861	249.005	162.441	116.937	176.63	109.23	89.3258
FBgn0039881	CG1971	chr3R	27631089	27632466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.99475	10.644	17.573	21.1224	19.9322	17.92951	35.1168	48.4723	42.5584	0.0	0.0	0.0
FBgn0039691	CG1972	chr3R	25571009	25573266	62.6273	81.3111	39.0033	29.1378	34.8098	30.221	27.8626	26.658	24.5254	23.4061	24.3594	27.3896	16.1506	19.3275	16.4926	15.9728	20.2429	21.2415	20.7471	21.8204	18.149	11.094	8.51586	13.8976	11.2039	10.4575	11.8459	25.5862	37.5291	38.7252
FBgn0026563	CG1979	chr3R	2880307	2884393	0.00549777	0.150732	0.676049	0.196063	0.0788716	0.0128776	0.0517605	0.0138509	0.0652454	0.156565	0.300448	0.774804	0.611294	0.630011	1.60024	2.0191	5.66981	8.52646	7.90869	13.7806	22.3092	28.4054	31.6932	16.7708	57.5131	57.775	41.4837	0.210595	0.397547	0.268306
FBgn0039751	CG1983	chr3R	26001399	26003429	18.5037	13.1944	12.63175	10.102076	12.2914	12.34548	13.1022	12.188478	13.79378	12.051115	13.26945	16.14303	13.846887	14.518928	13.221532	10.508534	10.269116	10.969802	10.406362	15.004376	12.483479	11.37153	10.64712	11.749795	10.798937	10.950629	13.782565	15.2828	17.625698	19.2842
FBgn0030162	CG1986	chrX	9802690	9805251	0.106144	0.0606277	0.0352763	0.2385808	0.785042	5.51021	10.22535	20.137804	17.27213	18.34945	0.988935	1.2607223	0.6563623	11.9983	1.17237	0.0417665	0.0752338	0.0983377	0.0388921	0.136861	0.119119	0.313215	0.278829	0.277483	0.415486	0.478274	0.660415	0.0	0.0	0.0120467
FBgn0037464	CG1988	chr3R	2887879	2890092	2.016449e-15	1.075657e-14	0.00522607	0.116804	0.00976183	0.00732367	0.00608044	0.0076505	0.020711	0.0303851	0.0181597	0.0277028	6.43081e-15	0.0341681	0.135309	1.908773	5.65976	8.98244	8.08455	14.48931	21.27172	27.37237	30.17783	12.31343	51.29696	51.4961	31.60949	2.319393e-18	0.010795	2.965343e-13
FBgn0030485	CG1998	chrX	13303326	13307107	0.768804	0.634296	0.2973021	0.569233	0.701407	1.685229	3.052916	2.870882	2.007696	2.96441	2.34888	2.60853	3.36239	3.895347	3.122556	7.53918	12.28498	18.18015	28.05203	28.11585	30.8728	18.96217	7.71805	13.04571	18.17728	24.07402	26.6666	8.95586	5.255801	5.135863
FBgn0029947	CG1999	chrX	7252796	7254101	0.0664779	0.0569569	0.0	0.0	0.0	0.0259522	0.0104313	0.0279136	0.0788934	0.0430262	0.0	0.0	0.0253138	0.0	0.626277	6.06003	13.9198	17.6145	16.9655	27.1721	40.986	49.6782	53.0005	54.8655	89.2878	112.176	130.134	0.0231498	0.0182086	0.0377244
FBgn0039886	CG2003	chr3R	27803851	27816835	4.338038	1.443711	0.5240343	1.1659	1.974491	11.48143	18.24492	26.47158	22.517548	10.94038	16.50248	17.5166	19.70612	14.62989	10.06724	7.11213	10.26787	18.07796	15.4143	4.51385	9.16115	13.93587	23.56029	5.569008	9.43304	5.821039	5.193294	12.00622	13.01191	11.87654
FBgn0030060	CG2004	chrX	8606478	8608888	57.5923	83.7757	56.1533	46.1671	47.6128	53.5637	31.946	28.2845	21.1647	13.7337	26.1574	23.6868	41.9679	55.1069	23.6985	13.71751	14.84608	15.38336	18.55611	12.86595	25.1146	15.94574	8.7714	8.96377	21.70257	20.76754	23.02566	30.9965	38.6968	41.5851
FBgn0039664	CG2006	chr3R	25315215	25317105	7.87494	4.95531	7.11687	8.87472	8.36709	8.04129	4.39518	4.36898	3.20344	2.03815	1.54864	1.39479	5.03794	6.31104	7.06174	5.61989	6.7459	6.84868	4.47999	4.71657	5.4283	4.17671	2.8636	3.28245	4.88607	9.75869	7.44689	5.88481	6.73579	8.86778
FBgn0039667	CG2010	chr3R	25320433	25324649	0.215381	0.520632	1.2776225	5.55431	6.197846	14.5082	20.7718	38.42319	38.9915	44.8799	27.2997	25.7447	27.83248	25.0248	44.4038	11.8982	4.963323	1.67524	0.683483	7.391979	6.086207	30.75036	120.32184	151.08151	88.15183	55.80915	38.03155	54.74995	6.610659	4.433386
FBgn0039669	CG2014	chr3R	25341438	25342265	0.0	0.0902547	0.1167	0.0894462	0.0809596	0.0822484	0.0495887	0.110581	0.0416719	0.0909067	0.03347	0.0	0.0200563	0.0	0.136884	4.63588	8.01368	9.04096	7.920627	13.02222	20.83069	20.42787	16.63744	19.28027	24.56458	42.25987	45.96083	0.0	0.0	0.0
FBgn0250839	CG2016	chr3R	782625	787214	0.4469824	1.703425	3.724894	2.9212	4.2879	36.9083	122.3388	189.5046	24.12035	4.596648	0.660828	1.313842	2.947805	115.6312	15.05477	3.89615	17.23258	100.6038	175.358	657.7828	125.9756	208.2177	89.0597	37.76009	12.12691	13.29606	16.85199	9.115451	3.088847	2.841057
FBgn0037391	CG2017	chr3R	1683734	1688215	8.8391	7.8268	15.3901	19.305427	15.753648	13.840452	13.37717	30.033393	47.35327	52.60739	33.1546	33.30103	18.53	10.12771	18.37216	29.84741	40.98891	43.05691	44.18772	42.81637	35.0639	23.87006	33.76047	69.69144	79.03551	84.08701	67.46546	51.47974	18.740771	12.827746
FBgn0035271	CG2021	chr3L	1777007	1777402	54.2128	64.4527	59.0015	57.5921	48.1074	41.6125	25.6707	15.4405	11.8314	9.16229	8.75476	8.24015	15.8749	19.3083	19.25	18.2604	22.9543	24.6338	22.6203	22.6424	32.3144	24.4296	18.5352	13.4152	15.0332	19.8885	20.4569	23.664	34.1131	37.6833
FBgn0037292	CG2022	chr3R	812216	836854	0.0186804	0.3201	0.610488	0.285509	0.535983	0.554238	0.445544	0.313751	0.221692	0.290171	0.0712234	0.202511	0.113812	0.0113262	0.0	0.0980076	0.154473	0.138453	0.342235	0.160576	0.157231	0.172587	0.245358	14.7268	57.3247	53.1534	27.0668	42.2183	15.002	5.55472
FBgn0037383	CG2023	chr3R	1649191	1650326	31.9342	14.473	10.8638	13.773	15.8179	15.721	14.8443	11.4579	8.99094	8.33504	7.49781	7.29039	7.46172	8.95833	7.55296	8.55981	11.6771	13.9787	14.6661	7.41988	8.56078	8.79364	6.01159	7.59197	10.0998	9.16303	10.3384	9.63576	13.5946	15.7812
FBgn0030344	CG2025	chrX	11758382	11763008	28.2424	12.3091	11.6344	12.7896	14.0537	13.4424	16.3046	8.52487	7.55484	4.40755	4.20751	5.12451	10.8142	15.903	11.276	8.49529	11.7702	15.2077	15.6235	14.2669	18.7979	16.1767	10.6432	5.26981	9.43855	9.82322	9.73357	12.0326	22.2841	20.6249
